,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
87061,3,SENIOR,104,45,65 to 74 years,W2,West Portal,December,2015,z,email,True,2003,False,7.0
204640,0,ADULT,0,0,60 to 64 years,X,Main Library,None,None,z,email,True,2013,True,0.0
131156,3,SENIOR,68,37,65 to 74 years,X,Main Library,May,2009,z,email,True,2005,False,6.0
377824,1,JUVENILE,70,2,10 to 19 years,M8,Mission Bay,December,2014,p,phone,False,2012,False,0.0
111696,0,ADULT,557,275,20 to 24 years,S7,Sunset,March,2016,z,email,True,2006,False,7.0
174892,0,ADULT,193,38,35 to 44 years,N4,Noe Valley/Sally Brunn,September,2015,z,email,True,2007,True,0.0
170235,0,ADULT,32,0,25 to 34 years,X,Main Library,October,2013,z,email,True,2013,False,6.0
396240,1,JUVENILE,50,4,10 to 19 years,E9,Excelsior,March,2014,z,email,True,2010,False,11.0
193550,0,ADULT,67,10,60 to 64 years,X,Main Library,December,2014,p,phone,False,2003,False,2.0
342111,1,JUVENILE,284,28,0 to 9 years,R3,Richmond,July,2016,z,email,True,2015,False,11.0
241435,0,ADULT,53,2,60 to 64 years,B2,Bayview/Linda Brooks-Burton,September,2015,p,phone,False,2003,False,5.0
289962,0,ADULT,0,0,35 to 44 years,X,Main Library,None,None,z,email,True,2015,True,0.0
258384,0,ADULT,1,0,45 to 54 years,X,Main Library,November,2012,z,email,True,2012,True,0.0
401594,1,JUVENILE,67,5,0 to 9 years,M6,Mission,July,2016,p,phone,False,2012,False,9.0
